name,publisher,authors,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,author_11,author_12,author_13,author_14
Data Mining ,Morgan kaufmann,I. Witten，E. Frank，M. Hall,I. Witten,E. Frank,M. Hall,,,,,,,,,,,
Rで学ぶクラスタ解析,オーム社,新納浩幸,新納浩幸,,,,,,,,,,,,,
情報論的学習とデータマイニング,朝倉書店,山西健司,山西健司,,,,,,,,,,,,,
データマイニングと集合知,共立出版,石川博,石川博,,,,,,,,,,,,,
大規模データのマイニング,共立出版,岩野和,岩野和,,,,,,,,,,,,,
岩波データサイエンスvol.3,岩波書店,岩波データサイエンス刊行委員会,岩波データサイエンス刊行委員会,,,,,,,,,,,,,
Kaggleで勝つデータ分析の技術,技術評論社,門脇大輔，阪田隆司，保坂桂佑，平松雄司,門脇大輔,阪田隆司,保坂桂佑,平松雄司,,,,,,,,,,
PythonではじめるKaggleスタートブック,講談社,石原祥太郎，村田秀樹,石原祥太郎,村田秀樹,,,,,,,,,,,,
Kaggleで学んでハイスコアをたたき出す！ Python機械学習&データ分析,秀和システム,チームカルポ,チームカルポ,,,,,,,,,,,,,
データサイエンスの基礎,講談社,狩野裕,狩野裕,,,,,,,,,,,,,
図解即戦力 機械学習&ディープラーニングのしくみと技術がこれ1冊でしっかりわかる教科書,技術評論社,株式会社アイデミー山口達輝，株式会社アイデミー松田洋之,株式会社アイデミー山口達輝,株式会社アイデミー松田洋之,,,,,,,,,,,,
データサイエンス入門,岩波書店,竹村彰通,竹村彰通,,,,,,,,,,,,,
現場で活用するための機械学習エンジニアリング,講談社,藤井亮宏,藤井亮宏,,,,,,,,,,,,,
教養としてのデータサイエンス,講談社,内田誠一，北川源四郎，竹村彰通,内田誠一,北川源四郎,竹村彰通,,,,,,,,,,,
データサイエンスのためのデータベース,講談社,吉岡真治，村井哲也，水田正弘,吉岡真治,村井哲也,水田正弘,,,,,,,,,,,
これならわかる機械学習入門,講談社,富谷昭夫,富谷昭夫,,,,,,,,,,,,,
Kaggleで磨く 機械学習の実践力--実務xコンペが鍛えたプロの手順,リックテレコム,諸橋政幸,諸橋政幸,,,,,,,,,,,,,
データサイエンティストのための特徴量エンジニアリング,マイナビ出版,Soledad Galli，松田晃一,Soledad Galli,松田晃一,,,,,,,,,,,,
キッチン・インフォマティクス 料理を支える自然言語処理と画像処理,オーム社,原島純，橋本敦史,原島純,橋本敦史,,,,,,,,,,,,
東京大学のデータサイエンティスト育成講座 ~Pythonで手を動かして学ぶデ―タ分析~,マイナビ出版,塚本邦尊，山田典一，大澤文孝，中山浩太郎，松尾豊,塚本邦尊,山田典一,大澤文孝,中山浩太郎,松尾豊,,,,,,,,,
LightGBM予測モデル実装ハンドブック,秀和システム,毛利拓也,毛利拓也,,,,,,,,,,,,,
情報推薦システム入門,共立出版,Dietmar Jannach，Markus Zanker，Alexaner Felfernig，Gerhard Friedrich,Dietmar Jannach,Markus Zanker,Alexaner Felfernig,Gerhard Friedrich,,,,,,,,,,
Recommender systems handbook,Springer,F. Ricchi，L. Pokach，B. Shapira，P. B. Knator,F. Ricchi,L. Pokach,B. Shapira,P. B. Knator,,,,,,,,,,
推薦システム実践入門 ―仕事で使える導入ガイド,O'REILLY / オライリージャパン,風間正弘，飯塚洸二郎，松村優也,風間正弘,飯塚洸二郎,松村優也,,,,,,,,,,,
日本人研究者のための絶対できる英語プレゼンテーション,羊土社,Philip Hawke，Robert F. Whittier，福田忍，伊藤健太郎,Philip Hawke,Robert F. Whittier,福田忍,伊藤健太郎,,,,,,,,,,
はじめての英語論文 引ける・使える パターン表現＆文例集,すばる舎,和田朋子,和田朋子,,,,,,,,,,,,,
国際学会Englishスピーキング・エクササイズ口演・発表・応答,医歯薬出版株式会社,C.S. Langham,C.S. Langham,,,,,,,,,,,,,
英語科学論文の書き方と国際会議でのプレゼン,研究社,廣岡慶彦,廣岡慶彦,,,,,,,,,,,,,
理科系のための入門英語プレゼンテーション,朝倉書店,廣岡慶彦,廣岡慶彦,,,,,,,,,,,,,
